Verb	English	Tags	Notes
CREER	to believe	tier:3;word-type:verb;verb-type:er;regularity:regular;spelling-change:preterite	Vowel change in preterite
NECESITAR	to need	tier:4;word-type:verb;verb-type:ar;regularity:regular	Essential necessity verb
LLEVAR	to take/carry/wear	tier:4;word-type:verb;verb-type:ar;regularity:regular	Essential transfer/possession verb
PENSAR	to think	tier:4;word-type:verb;verb-type:ar;regularity:irregular;stem-change:e-ie	Essential cognition verb
ENTENDER	to understand	tier:4;word-type:verb;verb-type:er;regularity:irregular;stem-change:e-ie	Essential comprehension verb
SENTIR	to feel	tier:4;word-type:verb;verb-type:ir;regularity:irregular;stem-change:e-ie;verb-tense:preterite:stem-change:e-i	Essential emotion verb
SENTIRSE	to feel	tier:4;word-type:verb;verb-type:ir;regularity:irregular;stem-change:e-ie;verb-tense:preterite:stem-change:e-i;reflexive:true	From SENTIR (emotions)
CONOCER	to know/be familiar with	tier:4;word-type:verb;verb-type:er;regularity:irregular;yo-form:zco	Knowledge of people/places
ENCONTRAR	to find	tier:4;word-type:verb;verb-type:ar;regularity:irregular;stem-change:o-ue	Essential discovery verb
ENCONTRARSE	to meet	tier:4;word-type:verb;verb-type:ar;regularity:irregular;stem-change:o-ue;reflexive:true	Common interaction verb
PREOCUPARSE	to worry	tier:4;word-type:verb;verb-type:ar;regularity:regular;reflexive:true	Common emotion verb
DIVERTIRSE	to have fun/enjoy oneself	tier:4;word-type:verb;verb-type:ir;regularity:irregular;stem-change:e-ie;verb-tense:preterite:stem-change:e-i;reflexive:true	Common leisure verb
GUSTAR	to like/please	tier:5;word-type:verb;verb-type:ar;regularity:regular;special-construction:indirect-object	Reverse subject construction
ENCANTAR	to love/enchant	tier:5;word-type:verb;verb-type:ar;regularity:regular;special-construction:indirect-object	Stronger than gustar
MOLESTAR	to bother/annoy	tier:5;word-type:verb;verb-type:ar;regularity:regular;special-construction:indirect-object	Common irritation verb
IMPORTAR	to matter/care	tier:5;word-type:verb;verb-type:ar;regularity:regular;special-construction:indirect-object	Essential concern verb
FALTAR	to lack/be missing	tier:5;word-type:verb;verb-type:ar;regularity:regular;special-construction:indirect-object	Essential need/absence verb
DOLER	to hurt/ache	tier:5;word-type:verb;verb-type:er;regularity:irregular;stem-change:o-ue;special-construction:indirect-object	Essential pain/discomfort verb
PARECER	to seem/appear	tier:5;word-type:verb;verb-type:er;regularity:irregular;yo-form:zco;special-construction:indirect-object	Essential opinion verb
